Case ID,End Timestamp,Activity
54,2022/7/12 12:38:20,商品受取
55,2022/7/12 12:28:34,並び始め
55,2022/7/12 12:31:42,注文開始
55,2022/7/12 12:31:44,決済
55,2022/7/12 12:32:35,注文完了
55,2022/7/12 12:42:25,商品受取
56,2022/7/12 12:29:22,並び始め
56,2022/7/12 12:32:36,注文開始
56,2022/7/12 12:32:40,決済
56,2022/7/12 12:33:26,注文完了
56,2022/7/12 12:44:22,商品受取
57,2022/7/12 12:30:03,並び始め
57,2022/7/12 12:33:22,注文開始
57,2022/7/12 12:33:31,決済
57,2022/7/12 12:33:40,注文完了
57,2022/7/12 12:44:59,商品受取
58,2022/7/12 12:30:29,並び始め
58,2022/7/12 12:33:41,注文開始
58,2022/7/12 12:33:43,決済
58,2022/7/12 12:34:01,注文完了
58,2022/7/12 12:45:51,商品受取
59,2022/7/12 12:30:29,並び始め
59,2022/7/12 12:33:50,注文開始
59,2022/7/12 12:33:52,決済
59,2022/7/12 12:34:09,注文完了
59,2022/7/12 12:46:04,商品受取
60,2022/7/12 12:33:29,並び始め
60,2022/7/12 12:34:25,注文開始
60,2022/7/12 12:34:29,決済
60,2022/7/12 12:34:55,注文完了
60,2022/7/12 12:46:14,商品受取
61,2022/7/12 12:33:29,並び始め
61,2022/7/12 12:35:08,注文開始
61,2022/7/12 12:35:12,決済
61,2022/7/12 12:35:29,注文完了
61,2022/7/12 12:47:01,商品受取
62,2022/7/12 12:33:30,並び始め
62,2022/7/12 12:35:26,注文開始
62,2022/7/12 12:35:27,決済
62,2022/7/12 12:36:21,注文完了
62,2022/7/12 12:50:52,商品受取
63,2022/7/12 12:35:05,並び始め
63,2022/7/12 12:36:09,注文開始
63,2022/7/12 12:36:10,決済
63,2022/7/12 12:37:55,注文完了
63,2022/7/12 12:51:54,商品受取
64,2022/7/12 12:37:00,並び始め
64,2022/7/12 12:37:26,注文開始
64,2022/7/12 12:37:36,決済
64,2022/7/12 12:38:01,注文完了
64,2022/7/12 12:51:55,商品受取
65,2022/7/12 12:46:52,並び始め
65,2022/7/12 12:47:10,注文開始
65,2022/7/12 12:47:14,決済
65,2022/7/12 12:47:18,注文完了
65,2022/7/12 12:49:58,商品受取
66,2022/7/12 12:46:52,並び始め
66,2022/7/12 12:47:20,注文開始
66,2022/7/12 12:47:22,決済
66,2022/7/12 12:49:36,注文完了
66,2022/7/12 12:52:56,商品受取
67,2022/7/12 12:46:54,並び始め
67,2022/7/12 12:47:56,注文開始
67,2022/7/12 12:48:01,決済
67,2022/7/12 12:48:13,注文完了
67,2022/7/12 12:53:19,商品受取
68,2022/7/12 12:46:59,並び始め
68,2022/7/12 12:48:25,注文開始
68,2022/7/12 12:48:33,決済
68,2022/7/12 12:48:38,注文完了
68,2022/7/12 12:53:55,商品受取
69,2022/7/12 12:47:00,並び始め
69,2022/7/12 12:49:27,注文開始
69,2022/7/12 12:49:40,決済
69,2022/7/12 12:50:13,注文完了
69,2022/7/12 12:55:38,商品受取
70,2022/7/12 12:47:03,並び始め
70,2022/7/12 12:48:42,注文開始
70,2022/7/12 12:48:43,決済
70,2022/7/12 12:48:45,注文完了
70,2022/7/12 12:55:45,商品受取
71,2022/7/12 12:47:04,並び始め
71,2022/7/12 12:49:58,注文開始
71,2022/7/12 12:49:59,決済
71,2022/7/12 12:50:15,注文完了
71,2022/7/12 12:55:41,商品受取
72,2022/7/12 12:50:31,並び始め
72,2022/7/12 12:50:34,注文開始
72,2022/7/12 12:50:38,決済
72,2022/7/12 12:51:39,注文完了
72,2022/7/12 12:57:35,商品受取
73,2022/7/12 12:50:32,並び始め
73,2022/7/12 12:51:37,注文開始
73,2022/7/12 12:51:38,決済
73,2022/7/12 12:51:41,注文完了
73,2022/7/12 12:59:53,商品受取
74,2022/7/12 12:51:44,並び始め
74,2022/7/12 12:51:51,注文開始
74,2022/7/12 12:52:23,決済
74,2022/7/12 12:52:34,注文完了
74,2022/7/12 13:00:09,商品受取
75,2022/7/12 12:55:20,並び始め
75,2022/7/12 12:56:19,注文開始
75,2022/7/12 12:56:35,決済
75,2022/7/12 12:56:45,注文完了
75,2022/7/12 13:00:48,商品受取
76,2022/7/12 12:55:21,並び始め
76,2022/7/12 12:56:49,注文開始
76,2022/7/12 12:56:50,決済
76,2022/7/12 12:57:18,注文完了
76,2022/7/12 13:01:36,商品受取
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
